point, latitude, longitude,Fgroup
1, 31.80170892548461, -110.84593878857459,NA
2, 31.80006417711395, -110.85052536599005,3
3, 31.791305496286885, -110.87366208764516,3
4, 31.790461877129147, -110.87594195200045,NA
5, 31.790710581276436, -110.87635596873811,NA
6, 31.79247058476618, -110.8764632570987,1
7, 31.79525186910846, -110.87665637614778,1
8, 31.80024885168323, -110.87191423060945,1
9, 31.801994778791332, -110.87136705997041,1
10, 31.804082596912192, -110.87075685741952,NA
11, 31.803553753921644, -110.86886992337755,2
12, 31.802933727250444, -110.86772462012819,2
13, 31.80257356278839, -110.86656054141572,2
14, 31.80225442854767, -110.86388906123689,2
15, 31.803350465822714, -110.85912338942224,2
16, 31.803869052252608, -110.85332713574105,2
17, 31.803750518468096, -110.8518398508423,2
18, 31.801918643633645, -110.84583686463202,NA
